image,regime,filter,mse,psnr,ssim,epi,fom,iou,time_s
bbbc034,mild,Sobel_Sharpen,3480.8291780993613,12.713976500884115,0.18182670772759907,0.8147126399050045,0.5594473608620374,,0.0013697079848498106
bbbc034,mild,Unsharp_Mask,7890.685924738949,9.15965603491056,0.08725709987464197,0.7049983636017122,0.5273830537750394,,0.0005238340236246586
bbbc034,mild,NGKCS_Custom,3374.5787079169013,12.848607988852848,0.17613186285497268,0.8151258379977514,0.5584365063941317,,0.011046791914850473
bbbc034,heavy,Noisy_Baseline,970.6994630698895,18.25995571468213,0.39151644040880923,0.9029285663658635,0.6500223717608485,,0.0
bbbc034,heavy,Box_3x3,184.04100154023746,25.481657728638552,0.7085057990601699,0.9602435127535028,0.6807886321498157,,0.0006760829128324986
bbbc034,heavy,Median_3x3,241.28009938629953,24.305588577868487,0.642987496307745,0.9526507154694458,0.6605456779906677,,0.006262667011469603
bbbc034,heavy,AVGF_Custom,412.28658000721646,21.978811621899254,0.5522965290497073,0.9371977668664285,0.6608500741989769,,0.008052375167608261
bbbc034,heavy,Sobel_Sharpen,1159.6405067742935,17.487569838147316,0.38790286214656367,0.8912995928403815,0.6454340917128066,,0.0014151250943541527
bbbc034,heavy,Unsharp_Mask,3764.0537191367384,12.374245479835253,0.19317058548964036,0.8021284767451523,0.6051372075253455,,0.0005530831404030323
bbbc034,heavy,NGKCS_Custom,983.0889524789363,18.20487545148737,0.3894023951839536,0.902402358950914,0.6470905766445307,,0.010974999982863665
bbbc034,realistic,Noisy_Baseline,1531.0491007917492,16.2809124210892,0.30824865588238043,0.8766671801542062,0.6217340678828293,,0.0
bbbc034,realistic,Box_3x3,249.50225409774464,24.16005887310145,0.650929026953056,0.9536148354886743,0.6526931308089455,,0.0006764170248061419
bbbc034,realistic,Median_3x3,356.0183821885643,22.616079385215635,0.5721564782209055,0.9426986553591054,0.6316826609419889,,0.006312167039141059
bbbc034,realistic,AVGF_Custom,643.4678238346685,20.04553525681001,0.46368012350203364,0.9206989467879877,0.6319723792284189,,0.007954082917422056
bbbc034,realistic,Sobel_Sharpen,1712.8624694049688,15.793578672406062,0.30933071528110084,0.8686333720434168,0.6172530484553002,,0.001374624902382493
bbbc034,realistic,Unsharp_Mask,5052.877184066789,11.095416185232683,0.14757590238735444,0.767136034147905,0.5755428619242416,,0.000542790861800313
bbbc034,realistic,NGKCS_Custom,1538.0019228049389,16.261234824486277,0.30658856388681865,0.8768070851469709,0.6185456169006942,,0.010839167051017284
